GO:0070588,ABL1,AFG3L2,ANK2,ATP1B1,ATP2B4,ATP2C1,BANK1,BHLHA15,CACHD1,CACNA1B,CACNA1E,CACNA1G,CACNA1H,CACNA1S,CACNA2D2,CACNA2D3,CACNB2,CACNG4,CACNG5,CALM2,CBARP,CEMIP,CHERP,DRD1,F2RL3,FAM155A,FAM155B,FASLG,FYN,GAS6,GEM,GPER1,GRIN2A,GRIN2C,GRIN3B,HPCA,HTT,IBTK,ITGAV,JPH1,JPH3,MAIP1,MCOLN2,MCOLN3,MCU,MCUR1,MICU1,MICU2,MICU3,MYO5A,P2RX4,PANX1,PKD1,PKD2L1,PLCG1,PLCG2,PLN,PRKCE,REM1,RYR2,SESTD1,SLC24A3,SLC24A4,SLC25A25,STAC,STIM2,TMEM37,TPCN1,TPCN2,TRPC4,TRPC5,TRPC6,TRPC7,TRPM1,UBASH3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0007156,CDH13,CDH18,CDH22,CDH23,CDH9,CDHR4,CELSR2,CLSTN3,CNTN4,CNTN6,DSG2,FAT1,FAT2,FAT4,IGSF21,IGSF9B,KIRREL3,NECTIN3,PCDH1,PCDH12,PCDH17,PCDH18,PCDH7,PCDH9,PTPRM,RET,ROBO1,ROBO2,VSTM2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0030334,ABHD2,ABHD6,ABL1,ABR,ACVR1C,ADAMTS1,ADARB1,ADGRA2,ADGRB1,ADGRG1,ADIPOQ,ADIPOR1,ADRA2A,ADTRP,AGO2,AGT,AKT1,AKT3,AMOT,AMOTL1,APOH,ATP8A1,BAG4,BCAR1,BCAS3,BCR,BMP2,BMP7,C1QBP,C5,CAPN7,CARMIL2,CASS4,CCR6,CDH13,CEMIP,CHRD,CLASP1,CMKLR1,CPNE3,CRKL,DAB2IP,DAG1,DAPK2,DDRGK1,DLC1,DLG5,DLL4,DOCK10,DOCK5,DOCK7,DRD1,EDN1,EDN3,EGF,EPB41L5,EPHA2,ETS1,FADD,FAM107A,FAM110C,FAM83H,FBXO5,FBXW7,FGFR1OP,FLRT2,FOXF1,FOXO3,FRMD5,GAS6,GCNT2,GLIPR2,GNA13,GPER1,GPI,GPLD1,GPNMB,GPR18,IGFBP3,IGFBP5,INSR,ITGAV,JAG1,JAM3,KIF14,LAMA3,LAMA4,LAMA5,LDB2,LGALS3,LGMN,LGR6,LMNA,LRCH1,LRIG2,MACF1,MAP3K3,MAP4K4,MAPK14,MAPK8IP3,MGAT5,MIIP,MMP28,MST1,MTOR,MTUS1,MYSM1,NEDD9,NEXN,NF1,NISCH,NKX2-1,NR4A3,NSMF,NUS1,ONECUT1,OXSR1,P2RX4,PBLD,PDCD6,PDGFRB,PHLDB2,PIK3C2A,PLA2G7,PLCB1,PLCG1,PLXNA1,PLXNA2,PLXND1,PODN,PPM1F,PPP3CA,PRCP,PRKCE,PRKX,PRR5L,PTEN,PTPN22,PTPRK,PTPRM,PTPRU,RAP2B,RECK,RET,RGCC,RND3,ROBO1,ROCK2,RUFY3,SASH1,SCAI,SEMA3G,SEMA4G,SEMA5A,SEMA5B,SEMA6B,SEMA6D,SFRP2,SH3RF2,SHTN1,SIRT1,SLK,SMOC2,SMURF2,SPAG9,SPARC,SPRED1,SRGAP3,SRPX2,STC1,STK39,SULF1,SYNE2,TIAM1,TIE1,TMEFF2,TRIB1,TTBK2,UNC5C,VASH1,VEGFA,VEGFC,VTN,WDPCP,XBP1,ZC3H12A,ZMYND8,ZNF609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0043967,ACTL6A,AUTS2,BEND3,BRD8,CTBP1,DMAP1,EP400,EPC1,HAT1,IWS1,JADE1,JADE3,KANSL1,KANSL1L,KAT6A,KAT6B,MSL2,MSL3,NAA60,PHF20,RUVBL1,SIRT1,SPI1,TADA3,TRRAP,USP22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0043968,ACTL6A,BRD8,DMAP1,EP400,EPC1,MSL3,RUVBL1,TRRAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0070509,AFG3L2,CACNA1E,CACNA1G,CACNA1H,CACNB2,CASK,CASR,EGF,FAM155A,FAM155B,FFAR4,FYN,LGALS3,MAIP1,MCU,MCUR1,MICU1,MICU2,PLN,SLC30A1,STC1,TRPC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0007268,ABHD6,ABL1,ADARB1,ADCY1,ADCY8,ADGRB1,ADIPOQ,ADORA2A,ADRB2,ALS2,ANAPC2,APBA2,ARID1B,ATAD1,CA7,CACNA1B,CACNA1E,CACNA1G,CACNA2D2,CACNB2,CACNG4,CACNG5,CALB2,CEP89,CHRNB4,CHRND,CLSTN3,CNR1,CPLX2,CUX2,CX3CR1,DLG1,DLG3,DLGAP1,DLGAP2,DOC2B,DRD1,DRD3,DRD5,EDN1,FAM107A,FCHSD2,GABRA2,GABRA3,GABRA4,GABRA5,GABRG1,GABRG3,GFAP,GLRA1,GLRA2,GLRA3,GLRA4,GLRB,GRID1,GRID2,GRID2IP,GRIK1,GRIK2,GRIK3,GRIK4,GRIN2A,GRIN2C,GRM1,GRM2,GRM4,GRM7,GSK3B,HRH1,HRH2,HRH3,HTR1E,HTR1F,HTR4,HTR5A,HTR6,IGSF9B,ITPKA,JPH3,KCNB1,KCNC4,KIF1B,KIF5B,LGMN,LRRTM1,LYPD1,MAPK1,MYO5A,NETO1,NF1,NPS,NPTX2,NPY5R,NSMF,OPHN1,P2RX4,P2RX6,PARK7,PCDH17,PENK,PINK1,PLCL1,PLCL2,PPP3CA,PRKCE,PTEN,PTPRN2,PXK,RAB26,RAB3B,RAB3GAP1,RGS14,RIC3,RIMS2,RIMS3,RIMS4,SCGN,SEZ6,SHISA6,SHISA9,SLC12A4,SLC12A5,SLC6A5,SLC7A11,SPG11,STX11,STX19,STX1A,SV2B,SYNJ1,SYT11,SYT17,SYT2,SYT7,SYT8,TMEM108,USP14,USP46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0071805,AKAP6,AMIGO1,ATP1B1,DLG1,DPP6,EDN3,FHL1,HCN2,KCNAB2,KCNB1,KCNB2,KCNC1,KCNC4,KCND3,KCNE2,KCNE4,KCNF1,KCNG1,KCNG3,KCNG4,KCNH5,KCNH7,KCNH8,KCNIP4,KCNJ1,KCNJ11,KCNJ13,KCNJ15,KCNJ16,KCNJ5,KCNJ6,KCNK1,KCNK10,KCNK12,KCNK13,KCNK15,KCNK16,KCNK17,KCNK18,KCNK2,KCNK5,KCNK9,KCNN3,KCNQ1,KCNQ2,KCNQ3,KCNQ5,KCNRG,KCNS1,KCNS2,KCNS3,KCNT2,KCNV1,LRRC38,LRRC52,MTMR6,NEDD4,NETO1,NETO2,OXSR1,PKD2L1,SLC12A1,SLC12A4,SLC12A5,SLC9A3,SLC9A5,SLC9A6,SLC9A7,STK39,TRPM5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0007605,CCDC50,CDH23,CEMIP,CLIC5,CLRN1,COCH,DCDC2,FBXO11,GABRA5,GRM7,GRXCR2,HOMER2,LRIG1,LRIG2,LRP2,MYO3A,MYO7A,NAV2,OTOS,PGAP1,SLC52A3,TJP1,TMPRSS3,TUB,USH1C,USH1G,USH2A,USP53,WFS1,WHRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO:2000311,ADRB2,CACNG4,CACNG5,CNIH3,GSG1L,SHISA6,SHISA9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
