gene	mean_BF	sum_BF	max_BF	n_snps	rank_BF	n	GeneScore
A1CF	-12.675080844375	-202.80129351	-7.02465351	16	115	223	0.515695067264574
A4GNT	-13.051776	-39.155328	-13.051776	3	209	1069	0.195509822263798
AACS	-10.715045187931	-310.73631045	10.31654733	29	3	84	0.0357142857142857
AADAC	-11.04273517	-33.12820551	-7.02465351	3	155	1069	0.144995322731525
AADAT	-13.051776	-339.346176	-13.051776	26	93	110	0.845454545454545
AAGAB	-13.051776	-117.465984	-13.051776	9	210	439	0.478359908883827
AAK1	-11.4251222092308	-148.52658872	2.06760079	13	51	316	0.161392405063291
AAMDC	-13.051776	-39.155328	-13.051776	3	210	1069	0.19644527595884
AAR2	-11.5449953775	-46.17998151	-7.02465351	4	175	933	0.187566988210075
AARS1	-13.051776	-26.103552	-13.051776	2	197	1311	0.150266971777269
AARS2	-13.051776	-13.051776	-13.051776	1	129	1564	0.0824808184143223
AASDH	-11.8995377627778	-214.19167973	7.68851227	18	13	205	0.0634146341463415
AASDHPPT	-12.3820957233333	-222.87772302	-7.02465351	18	126	205	0.614634146341463
AASS	-12.7169358616667	-228.90484551	-7.02465351	18	127	205	0.619512195121951
AATF	-10.761091576	-107.61091576	9.85506824	10	14	477	0.0293501048218029
ABAT	-12.7398403282759	-369.45536952	-4.00564152	29	41	84	0.488095238095238
ABCA1	-11.689815744	-409.14355104	3.47719021	35	21	65	0.323076923076923
ABCA12	-12.1462811208571	-425.11983923	6.58629979	35	7	65	0.107692307692308
ABCA13	-9.431569284	-47.15784642	-0.97786491	5	76	817	0.0930232558139535
ABCA2	-7.02465351	-7.02465351	-7.02465351	1	86	1564	0.0549872122762148
ABCA3	-13.051776	-13.051776	-13.051776	1	130	1564	0.0831202046035806
ABCA4	-12.4045890545455	-409.3514388	8.3053932	33	8	84	0.0952380952380952
ABCA5	-12.048856020625	-192.78169633	-3.03217882	16	81	223	0.36322869955157
ABCA7	2.06760079	2.06760079	2.06760079	1	19	1564	0.0121483375959079
ABCB10	-13.051776	-169.673088	-13.051776	13	189	316	0.598101265822785
ABCB11	-13.051776	-78.310656	-13.051776	6	265	738	0.359078590785908
ABCB5	-12.306803856875	-393.81772342	-3.03217882	32	51	97	0.525773195876289
ABCB7	-13.051776	-300.190848	-13.051776	23	94	128	0.734375
ABCB9	-13.051776	-13.051776	-13.051776	1	131	1564	0.0837595907928389
ABCC1	-12.7830729341379	-370.70911509	-5.25938709	29	50	84	0.595238095238095
ABCC10	-11.7124154466667	-105.41173902	-7.02465351	9	163	439	0.37129840546697
ABCC2	-11.242549104	-56.21274552	-4.00564152	5	114	817	0.13953488372093
ABCC3	-13.051776	-365.449728	-13.051776	28	93	113	0.823008849557522
ABCC4	-11.8485906259302	-1018.97879383	17.99543586	86	2	12	0.166666666666667
ABCC5	-12.7169358616667	-228.90484551	-7.02465351	18	128	205	0.624390243902439
ABCC8	-11.7617859940625	-376.37715181	11.38500509	32	2	97	0.0206185567010309
ABCC9	-13.051776	-65.25888	-13.051776	5	277	817	0.339045287637699
ABCD2	-12.7778158868182	-281.11194951	-7.02465351	22	100	160	0.625
ABCD3	-13.051776	-169.673088	-13.051776	13	190	316	0.60126582278481
ABCD4	-2.2253026	-6.6759078	9.40804702	3	12	1069	0.0112254443405051
ABCE1	-13.051776	-26.103552	-13.051776	2	198	1311	0.151029748283753
ABCF2	-13.051776	-39.155328	-13.051776	3	211	1069	0.197380729653882
ABCG1	-12.3827175732	-309.56793933	3.67468467	25	22	131	0.16793893129771
ABCG2	-12.7504198755	-255.00839751	-7.02465351	20	122	183	0.666666666666667
ABCG4	-13.051776	-13.051776	-13.051776	1	132	1564	0.0843989769820972
ABCG5	-12.4024102575	-148.82892309	-5.25938709	12	126	320	0.39375
ABCG8	-12.248159668	-183.72239502	-7.02465351	15	125	254	0.492125984251969
ABHD10	-13.051776	-143.569536	-13.051776	11	225	408	0.551470588235294
ABHD11	-13.051776	-13.051776	-13.051776	1	133	1564	0.0850383631713555
ABHD12	-11.8497787233333	-213.29601702	-0.4619595	18	59	205	0.28780487804878
ABHD12B	-13.051776	-13.051776	-13.051776	1	134	1564	0.0856777493606138
ABHD13	-13.051776	-78.310656	-13.051776	6	266	738	0.360433604336043
ABHD17C	-12.2290017463636	-269.03803842	-0.97786491	22	42	160	0.2625
ABHD18	-11.9887366615385	-155.8535766	-5.25938709	13	126	316	0.39873417721519
ABHD2	-13.051776	-300.190848	-13.051776	23	95	128	0.7421875
ABHD3	-13.051776	-169.673088	-13.051776	13	191	316	0.604430379746835
ABHD5	-13.051776	-247.983744	-13.051776	19	134	170	0.788235294117647
ABHD6	-11.1036787725	-44.41471509	-5.25938709	4	140	933	0.15005359056806
ABI1	-13.051776	-195.77664	-13.051776	15	170	254	0.669291338582677
ABI2	-12.3433770081818	-135.77714709	-5.25938709	11	141	408	0.345588235294118
ABI3BP	-12.5092918034314	-1275.94776395	10.36545598	100	40	209	0.191387559808612
ABITRAM	-13.051776	-52.207104	-13.051776	4	243	933	0.260450160771704
ABL1	-12.90109793775	-516.04391751	-7.02465351	40	54	66	0.818181818181818
ABL2	-13.051776	-143.569536	-13.051776	11	226	408	0.553921568627451
ABLIM1	-12.6563893624427	-1657.98700648	0.80059496	100	168	209	0.803827751196172
ABLIM2	-12.4328625906522	-1143.82335834	7.07650758	92	4	9	0.444444444444444
ABLIM3	-13.051776	-52.207104	-13.051776	4	244	933	0.261521972132905
ABR	-8.99821681333333	-53.98930088	3.47719021	6	38	738	0.0514905149051491
ABRA	-13.051776	-130.51776	-13.051776	10	253	477	0.530398322851153
ABRACL	-13.051776	-78.310656	-13.051776	6	267	738	0.361788617886179
ABRAXAS1	-13.051776	-26.103552	-13.051776	2	199	1311	0.151792524790236
ABRAXAS2	-13.051776	-52.207104	-13.051776	4	245	933	0.262593783494105
ABTB1	-12.649967834	-189.74951751	-7.02465351	15	126	254	0.496062992125984
ABTB2	-11.0607913213793	-320.76294832	5.92243719	29	8	84	0.0952380952380952
ACAA1	-10.79024238	-43.16096952	-4.00564152	4	111	933	0.118971061093248
ACAA2	-7.31605983	-29.26423932	3.86396619	4	30	933	0.0321543408360129
ACACA	-11.6293197547059	-395.39687166	10.60360524	34	3	82	0.0365853658536585
ACACB	-12.29838568875	-98.38708551	-7.02465351	8	167	534	0.312734082397004
ACAD10	-13.051776	-13.051776	-13.051776	1	135	1564	0.0863171355498721
ACAD11	-13.051776	-261.03552	-13.051776	20	152	183	0.830601092896175
ACAD8	-13.051776	-91.362432	-13.051776	7	258	621	0.415458937198068
ACAD9	-13.051776	-26.103552	-13.051776	2	200	1311	0.15255530129672
ACADL	-13.051776	-52.207104	-13.051776	4	246	933	0.263665594855305
ACADM	-13.051776	-39.155328	-13.051776	3	212	1069	0.198316183348924
ACADS	-8.31697935333333	-24.95093806	1.15261394	3	55	1069	0.0514499532273152
ACADSB	-13.051776	-130.51776	-13.051776	10	254	477	0.532494758909853
ACAN	-11.7184078557143	-246.08656497	1.47886315	21	37	160	0.23125
